Data,Hora UTC,"TEMPERATURA DO AR - BULBO SECO, HORARIA ( C)",UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
1/1/2019,0000 UTC,"21,3",99
1/1/2019,0100 UTC,"20,8",75
1/1/2019,0200 UTC,"20,4",80
1/1/2019,0300 UTC,"20,1",54
1/1/2019,0400 UTC,"19,6",73
1/1/2019,0500 UTC,,
1/1/2019,0600 UTC,"18,9",92
1/1/2019,0700 UTC,"18,6",75
1/1/2019,0800 UTC,"17,8",59
1/1/2019,0900 UTC,20,73
1/1/2019,1000 UTC,"21,6",72
1/1/2019,1100 UTC,"23,5",75
1/1/2019,1200 UTC,"24,7",81
1/1/2019,1300 UTC,"25,9",85
1/1/2019,1400 UTC,"27,2",68
1/1/2019,1500 UTC,"28,5",92
1/1/2019,1600 UTC,"29,4",90
1/1/2019,1700 UTC,"29,8",56
1/1/2019,1800 UTC,"29,5",90
1/1/2019,1900 UTC,"27,4",49
1/1/2019,2000 UTC,26,55
1/1/2019,2100 UTC,"23,3",90
1/1/2019,2200 UTC,"22,1",47
1/1/2019,2300 UTC,"21,8",57
2/1/2019,0000 UTC,"21,5",66
2/1/2019,0100 UTC,21,41
2/1/2019,0200 UTC,21,86
2/1/2019,0300 UTC,"20,8",71
2/1/2019,0400 UTC,"20,8",67
2/1/2019,0500 UTC,"20,5",64
2/1/2019,0600 UTC,"20,5",53
2/1/2019,0700 UTC,"20,7",40
2/1/2019,0800 UTC,"20,3",83
2/1/2019,0900 UTC,"21,3",55
2/1/2019,1000 UTC,"22,9",87
2/1/2019,1100 UTC,"24,8",55
2/1/2019,1200 UTC,"26,7",78
2/1/2019,1300 UTC,"28,2",42
2/1/2019,1400 UTC,"28,7",89
2/1/2019,1500 UTC,"30,6",43
2/1/2019,1600 UTC,"30,9",55
2/1/2019,1700 UTC,"29,9",91
2/1/2019,1800 UTC,"30,4",73
2/1/2019,1900 UTC,"30,1",53
2/1/2019,2000 UTC,"29,8",59
2/1/2019,2100 UTC,"27,9",95
2/1/2019,2200 UTC,"25,5",96
2/1/2019,2300 UTC,"25,6",54
3/1/2019,0000 UTC,"25,2",42
3/1/2019,0100 UTC,"24,6",100
3/1/2019,0200 UTC,"24,1",65
3/1/2019,0300 UTC,"23,6",48
3/1/2019,0400 UTC,"23,6",81
3/1/2019,0500 UTC,"23,3",61
3/1/2019,0600 UTC,"22,8",78
3/1/2019,0700 UTC,"22,5",94
3/1/2019,0800 UTC,"22,4",86
3/1/2019,0900 UTC,24,56
3/1/2019,1000 UTC,"25,7",74
3/1/2019,1100 UTC,27,91
3/1/2019,1200 UTC,"27,8",58
3/1/2019,1300 UTC,"29,1",69
3/1/2019,1400 UTC,"29,9",80
3/1/2019,1500 UTC,"29,7",90
3/1/2019,1600 UTC,"28,6",86
3/1/2019,1700 UTC,"30,5",76
3/1/2019,1800 UTC,"29,2",63
3/1/2019,1900 UTC,"29,8",52
3/1/2019,2000 UTC,"29,3",79
3/1/2019,2100 UTC,"27,6",55
3/1/2019,2200 UTC,,
3/1/2019,2300 UTC,,
4/1/2019,0000 UTC,,
4/1/2019,0100 UTC,"25,6",41
4/1/2019,0200 UTC,"25,2",53
4/1/2019,0300 UTC,"24,9",55
4/1/2019,0400 UTC,"24,4",82
4/1/2019,0500 UTC,"23,8",51
4/1/2019,0600 UTC,"23,5",78
4/1/2019,0700 UTC,23,48
4/1/2019,0800 UTC,"22,9",53
4/1/2019,0900 UTC,"23,8",83
4/1/2019,1000 UTC,"25,6",68
4/1/2019,1100 UTC,"27,1",49
4/1/2019,1200 UTC,"28,1",46
4/1/2019,1300 UTC,"25,4",90
4/1/2019,1400 UTC,"27,3",90
4/1/2019,1500 UTC,"24,5",83
4/1/2019,1600 UTC,"25,4",66
4/1/2019,1700 UTC,"25,5",86
4/1/2019,1800 UTC,"24,5",76
4/1/2019,1900 UTC,"21,2",91
4/1/2019,2000 UTC,21,84
4/1/2019,2100 UTC,"20,6",44
4/1/2019,2200 UTC,"20,6",86
4/1/2019,2300 UTC,"20,5",48
5/1/2019,0000 UTC,"20,9",40
5/1/2019,0100 UTC,"20,8",55
5/1/2019,0200 UTC,"20,6",85
5/1/2019,0300 UTC,"20,4",78
5/1/2019,0400 UTC,"20,3",86
5/1/2019,0500 UTC,"20,2",58
5/1/2019,0600 UTC,"19,9",61
5/1/2019,0700 UTC,20,72
5/1/2019,0800 UTC,20,77
5/1/2019,0900 UTC,"20,3",79
5/1/2019,1000 UTC,"21,6",55
5/1/2019,1100 UTC,"22,9",50
5/1/2019,1200 UTC,"23,2",43
5/1/2019,1300 UTC,"23,1",62
5/1/2019,1400 UTC,"23,1",76
5/1/2019,1500 UTC,"22,3",53
5/1/2019,1600 UTC,"20,2",42
5/1/2019,1700 UTC,"20,6",73
5/1/2019,1800 UTC,"20,3",97
5/1/2019,1900 UTC,"20,5",82
5/1/2019,2000 UTC,20,69
5/1/2019,2100 UTC,"19,4",40
5/1/2019,2200 UTC,"19,1",41
5/1/2019,2300 UTC,19,49
6/1/2019,0000 UTC,"19,1",99
6/1/2019,0100 UTC,"18,7",51
6/1/2019,0200 UTC,"17,3",51
6/1/2019,0300 UTC,"17,8",55
6/1/2019,0400 UTC,"17,9",53
6/1/2019,0500 UTC,"18,3",74
6/1/2019,0600 UTC,"18,1",98
6/1/2019,0700 UTC,"18,1",59
6/1/2019,0800 UTC,"18,1",62
6/1/2019,0900 UTC,"18,4",72
6/1/2019,1000 UTC,"19,2",44
6/1/2019,1100 UTC,"20,3",84
6/1/2019,1200 UTC,"20,7",83
6/1/2019,1300 UTC,21,90
6/1/2019,1400 UTC,22,73
6/1/2019,1500 UTC,"22,7",81
6/1/2019,1600 UTC,"24,5",49
6/1/2019,1700 UTC,"25,9",57
6/1/2019,1800 UTC,26,54
6/1/2019,1900 UTC,"24,3",47
6/1/2019,2000 UTC,23,49
6/1/2019,2100 UTC,"21,5",62
6/1/2019,2200 UTC,21,97
6/1/2019,2300 UTC,"20,9",82
7/1/2019,0000 UTC,"20,7",81
7/1/2019,0100 UTC,"20,6",94
7/1/2019,0200 UTC,"20,6",74
7/1/2019,0300 UTC,"20,5",93
7/1/2019,0400 UTC,20,59
7/1/2019,0500 UTC,"19,5",61
7/1/2019,0600 UTC,"19,2",68
7/1/2019,0700 UTC,"19,1",45
7/1/2019,0800 UTC,"19,3",52
7/1/2019,0900 UTC,"20,8",60
7/1/2019,1000 UTC,"22,5",90
7/1/2019,1100 UTC,"24,5",46
7/1/2019,1200 UTC,"25,4",61
7/1/2019,1300 UTC,"26,6",97
7/1/2019,1400 UTC,"27,5",71
7/1/2019,1500 UTC,"27,7",90
7/1/2019,1600 UTC,"28,6",53
7/1/2019,1700 UTC,"28,8",58
7/1/2019,1800 UTC,,
7/1/2019,1900 UTC,"24,2",41
7/1/2019,2000 UTC,"22,2",77
7/1/2019,2100 UTC,"22,5",60
7/1/2019,2200 UTC,"22,9",80
7/1/2019,2300 UTC,"22,1",84
8/1/2019,0000 UTC,"21,7",45
8/1/2019,0100 UTC,"22,1",75
8/1/2019,0200 UTC,22,45
8/1/2019,0300 UTC,"21,1",43
8/1/2019,0400 UTC,21,75
8/1/2019,0500 UTC,"20,5",96
8/1/2019,0600 UTC,"20,7",63
8/1/2019,0700 UTC,"20,6",80
8/1/2019,0800 UTC,"20,4",84
8/1/2019,0900 UTC,"21,6",44
8/1/2019,1000 UTC,"23,6",73
8/1/2019,1100 UTC,"25,3",94
8/1/2019,1200 UTC,"25,7",67
8/1/2019,1300 UTC,"27,4",83
8/1/2019,1400 UTC,"28,2",67
8/1/2019,1500 UTC,"29,1",72
8/1/2019,1600 UTC,"29,7",69
8/1/2019,1700 UTC,"29,3",55
8/1/2019,1800 UTC,"29,8",49
8/1/2019,1900 UTC,26,60
8/1/2019,2000 UTC,"21,6",70
8/1/2019,2100 UTC,"17,6",59
8/1/2019,2200 UTC,"19,2",91
8/1/2019,2300 UTC,20,50
9/1/2019,0000 UTC,"20,2",69
9/1/2019,0100 UTC,"20,4",40
9/1/2019,0200 UTC,"20,4",77
9/1/2019,0300 UTC,"19,8",53
9/1/2019,0400 UTC,"19,8",78
9/1/2019,0500 UTC,"19,7",46
9/1/2019,0600 UTC,"19,5",58
9/1/2019,0700 UTC,"19,5",69
9/1/2019,0800 UTC,"19,5",69
9/1/2019,0900 UTC,"21,4",68
9/1/2019,1000 UTC,"22,5",41
9/1/2019,1100 UTC,"25,5",67
9/1/2019,1200 UTC,"26,5",54
9/1/2019,1300 UTC,"28,2",68
9/1/2019,1400 UTC,"28,4",90
9/1/2019,1500 UTC,"29,5",42
9/1/2019,1600 UTC,"29,3",56
9/1/2019,1700 UTC,"30,2",66
9/1/2019,1800 UTC,"30,6",69
9/1/2019,1900 UTC,"30,2",91
9/1/2019,2000 UTC,"29,2",83
9/1/2019,2100 UTC,"27,6",84
9/1/2019,2200 UTC,"25,5",58
9/1/2019,2300 UTC,"24,1",81
10/1/2019,0000 UTC,"23,3",82
10/1/2019,0100 UTC,"22,9",69
10/1/2019,0200 UTC,"22,4",76
10/1/2019,0300 UTC,"22,5",54
10/1/2019,0400 UTC,"22,8",79
10/1/2019,0500 UTC,"22,3",97
10/1/2019,0600 UTC,"21,7",74
10/1/2019,0700 UTC,"21,3",59
10/1/2019,0800 UTC,"21,2",59
10/1/2019,0900 UTC,"21,8",98
10/1/2019,1000 UTC,"23,5",76
10/1/2019,1100 UTC,"25,2",82
10/1/2019,1200 UTC,"27,9",95
10/1/2019,1300 UTC,"27,9",50
10/1/2019,1400 UTC,"29,6",89
10/1/2019,1500 UTC,30,52
10/1/2019,1600 UTC,"30,2",59
10/1/2019,1700 UTC,"22,2",93
10/1/2019,1800 UTC,"21,1",68
10/1/2019,1900 UTC,"21,7",64
10/1/2019,2000 UTC,"22,6",52
10/1/2019,2100 UTC,23,40
10/1/2019,2200 UTC,"22,3",91
10/1/2019,2300 UTC,"21,6",70
11/1/2019,0000 UTC,"20,9",93
11/1/2019,0100 UTC,"20,4",49
11/1/2019,0200 UTC,"21,2",74
11/1/2019,0300 UTC,20,93
11/1/2019,0400 UTC,"19,4",51
11/1/2019,0500 UTC,"19,2",87
11/1/2019,0600 UTC,"18,8",85
11/1/2019,0700 UTC,"18,4",41
11/1/2019,0800 UTC,"18,5",50
11/1/2019,0900 UTC,"19,8",92
11/1/2019,1000 UTC,"21,9",94
11/1/2019,1100 UTC,"25,4",53
11/1/2019,1200 UTC,"27,1",50
11/1/2019,1300 UTC,"29,2",93
11/1/2019,1400 UTC,"30,5",50
11/1/2019,1500 UTC,"30,6",71
11/1/2019,1600 UTC,"30,1",61
11/1/2019,1700 UTC,"22,7",90
11/1/2019,1800 UTC,"21,2",64
11/1/2019,1900 UTC,"21,4",87
11/1/2019,2000 UTC,"21,3",81
11/1/2019,2100 UTC,"21,4",83
11/1/2019,2200 UTC,"19,3",82
11/1/2019,2300 UTC,"19,6",47
12/1/2019,0000 UTC,"19,4",55
12/1/2019,0100 UTC,"19,5",62
12/1/2019,0200 UTC,"19,8",63
12/1/2019,0300 UTC,"19,7",62
12/1/2019,0400 UTC,"19,5",58
12/1/2019,0500 UTC,"19,1",87
12/1/2019,0600 UTC,"18,9",68
12/1/2019,0700 UTC,"18,8",100
12/1/2019,0800 UTC,"18,7",81
12/1/2019,0900 UTC,20,49
12/1/2019,1000 UTC,23,72
12/1/2019,1100 UTC,"24,1",76
12/1/2019,1200 UTC,25,41
12/1/2019,1300 UTC,"26,8",91
12/1/2019,1400 UTC,"26,5",61
12/1/2019,1500 UTC,"25,8",56
12/1/2019,1600 UTC,"20,5",79
12/1/2019,1700 UTC,"19,8",58
12/1/2019,1800 UTC,20,95
12/1/2019,1900 UTC,"19,8",79
12/1/2019,2000 UTC,"23,1",64
12/1/2019,2100 UTC,"21,5",99
12/1/2019,2200 UTC,"20,6",68
12/1/2019,2300 UTC,"20,2",54
13/1/2019,0000 UTC,"20,4",97
13/1/2019,0100 UTC,"20,5",53
13/1/2019,0200 UTC,"20,1",97
13/1/2019,0300 UTC,"20,3",97
13/1/2019,0400 UTC,"20,3",69
13/1/2019,0500 UTC,"20,2",64
13/1/2019,0600 UTC,"20,2",80
13/1/2019,0700 UTC,"20,2",68
13/1/2019,0800 UTC,"19,9",77
13/1/2019,0900 UTC,"20,7",100
13/1/2019,1000 UTC,"22,6",95
13/1/2019,1100 UTC,"23,2",57
13/1/2019,1200 UTC,"25,3",94
13/1/2019,1300 UTC,"27,2",91
13/1/2019,1400 UTC,"28,6",93
13/1/2019,1500 UTC,"26,7",82
13/1/2019,1600 UTC,"28,6",95
13/1/2019,1700 UTC,"29,2",91
13/1/2019,1800 UTC,"25,3",57
13/1/2019,1900 UTC,"25,7",80
13/1/2019,2000 UTC,"24,9",68
13/1/2019,2100 UTC,"22,9",51
13/1/2019,2200 UTC,"18,8",48
13/1/2019,2300 UTC,"19,5",41
14/1/2019,0000 UTC,"19,4",82
14/1/2019,0100 UTC,"19,2",41
14/1/2019,0200 UTC,"19,4",99
14/1/2019,0300 UTC,"19,5",71
14/1/2019,0400 UTC,"19,5",75
14/1/2019,0500 UTC,"19,3",82
14/1/2019,0600 UTC,"19,3",62
14/1/2019,0700 UTC,"19,4",86
14/1/2019,0800 UTC,"19,2",45
14/1/2019,0900 UTC,"19,6",80
14/1/2019,1000 UTC,"21,2",84
14/1/2019,1100 UTC,"23,8",85
14/1/2019,1200 UTC,"25,9",82
14/1/2019,1300 UTC,"26,6",53
14/1/2019,1400 UTC,"28,5",60
14/1/2019,1500 UTC,"29,4",86
14/1/2019,1600 UTC,"24,7",86
14/1/2019,1700 UTC,"25,9",90
14/1/2019,1800 UTC,"25,4",61
14/1/2019,1900 UTC,"22,9",50
14/1/2019,2000 UTC,"20,5",89
14/1/2019,2100 UTC,"20,9",91
14/1/2019,2200 UTC,"20,9",73
14/1/2019,2300 UTC,"20,7",93
15/1/2019,0000 UTC,"20,6",82
15/1/2019,0100 UTC,"20,7",42
15/1/2019,0200 UTC,"20,3",59
15/1/2019,0300 UTC,"20,2",81
15/1/2019,0400 UTC,"19,8",100
15/1/2019,0500 UTC,"19,6",46
15/1/2019,0600 UTC,"19,7",80
15/1/2019,0700 UTC,"19,5",72
15/1/2019,0800 UTC,"19,8",66
15/1/2019,0900 UTC,"20,5",81
15/1/2019,1000 UTC,"22,5",55
15/1/2019,1100 UTC,24,69
15/1/2019,1200 UTC,"25,9",76
15/1/2019,1300 UTC,"27,7",60
15/1/2019,1400 UTC,"27,8",62
15/1/2019,1500 UTC,"28,4",40
15/1/2019,1600 UTC,"29,7",65
15/1/2019,1700 UTC,"29,8",65
15/1/2019,1800 UTC,"29,1",91
15/1/2019,1900 UTC,"29,2",83
15/1/2019,2000 UTC,"28,7",50
15/1/2019,2100 UTC,"27,5",67
15/1/2019,2200 UTC,"22,8",49
15/1/2019,2300 UTC,"22,1",60
16/1/2019,0000 UTC,"22,1",51
16/1/2019,0100 UTC,"22,3",51
16/1/2019,0200 UTC,"22,4",60
16/1/2019,0300 UTC,"21,9",89
16/1/2019,0400 UTC,"22,2",89
16/1/2019,0500 UTC,"21,8",76
16/1/2019,0600 UTC,"21,5",95
16/1/2019,0700 UTC,"21,2",74
16/1/2019,0800 UTC,"21,6",80
16/1/2019,0900 UTC,"22,3",65
16/1/2019,1000 UTC,"23,4",72
16/1/2019,1100 UTC,"25,7",74
16/1/2019,1200 UTC,"27,2",97
16/1/2019,1300 UTC,"28,3",75
16/1/2019,1400 UTC,"30,1",41
16/1/2019,1500 UTC,"21,7",90
16/1/2019,1600 UTC,"22,1",85
16/1/2019,1700 UTC,"22,4",89
16/1/2019,1800 UTC,"25,2",42
